Title,Vie_Martin,Vie_Martin,Dia_Martin,Dia_Martin,Vie_Brice,Vie_Brice,Vie_Gilles,Vie_Gilles,Vie_Martial,Vie_Martial,Vie_Nicolas,Vie_Nicolas,Vie_Jerome,Vie_Jerome,Vie_Benoit,Vie_Benoit,Vie_Alexis,Vie_Alexis
Corpus,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt
ADJind->PROper->PONfbl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ADJind->PROper->PROper,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJind->PROper->VERcjg,0,1,3,3,0,0,0,0,1,1,1,1,0,0,1,1,0,0
ADJind->PROrel->ADVgen,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ADJind->PROrel->VERcjg,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJind->VERcjg->ADVgen,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJind->VERcjg->CONcoo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ADJind->VERcjg->CONsub,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ADJind->VERcjg->DETdef,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
ADJind->VERcjg->DETndf,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJind->VERcjg->DETpos,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJind->VERcjg->NOMcom,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJind->VERcjg->PONfbl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ADJind->VERcjg->PONfrt,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJind->VERcjg->PRE,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0
ADJind->VERcjg->PROind,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJind->VERcjg->PROper,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ADJind->VERcjg->PROrel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ADJind->VERcjg->VERinf,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJind->VERcjg->VERppe,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0
ADJind->VERinf->CONcoo,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ADJind->VERppe->ADVgen,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJind->VERppe->CONcoo,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ADJind->VERppe->PONfbl,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJind->VERppe->PONfrt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ADJord->ADJqua->PONfbl,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ADJord->ADVgen->VERcjg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ADJord->ADVgen->VERppe,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJord->CONcoo->ADVgen,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJord->CONcoo->CONcoo,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJord->CONsub->ADJqua,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ADJord->CONsub->DETpos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJord->CONsub->PONfbl,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJord->DETdef->ADJqua,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
ADJord->DETdef->NOMcom,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
ADJord->DETndf->ADJqua,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJord->DETpos->NOMcom,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJord->NOMcom->ADJqua,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
ADJord->NOMcom->ADVgen,0,0,3,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ADJord->NOMcom->CONcoo,2,2,2,2,0,0,0,0,0,0,0,1,1,1,3,3,0,0
