"","freq","mean prob","sample size necessary","passes"
"mesche2",1,1.67250370459571e-06,13594.5593537606,FALSE
"dama",1,1.67250370459571e-06,13594.5593537606,FALSE
"encomoinie",1,1.67250370459571e-06,13594.5593537606,FALSE
"assomer2",1,1.67250370459571e-06,13594.5593537606,FALSE
"visage",1,1.67250370459571e-06,13594.5593537606,FALSE
"coratinel",1,1.67250370459571e-06,13594.5593537606,FALSE
"lavent1",1,1.67250370459571e-06,13594.5593537606,FALSE
"rame",1,1.67250370459571e-06,13594.5593537606,FALSE
"drance",1,1.67250370459571e-06,13594.5593537606,FALSE
"depuis",1,1.67250370459571e-06,13594.5593537606,FALSE
"luevant",1,1.67250370459571e-06,13594.5593537606,FALSE
"acince",1,1.67250370459571e-06,13594.5593537606,FALSE
"savanchier",1,1.67250370459571e-06,13594.5593537606,FALSE
"umelïement",1,1.67250370459571e-06,13594.5593537606,FALSE
"esprueve",1,1.67250370459571e-06,13594.5593537606,FALSE
"umervin",1,1.67250370459571e-06,13594.5593537606,FALSE
"anement",1,1.67250370459571e-06,13594.5593537606,FALSE
"desverier",2,3.34500740919141e-06,6796.9442903072,FALSE
"contestal",1,1.67250370459571e-06,13594.5593537606,FALSE
"nece",1,1.67250370459571e-06,13594.5593537606,FALSE
"torblement",1,1.67250370459571e-06,13594.5593537606,FALSE
"nesse",1,1.67250370459571e-06,13594.5593537606,FALSE
"imerage",1,1.67250370459571e-06,13594.5593537606,FALSE
"mesmeillom",1,1.67250370459571e-06,13594.5593537606,FALSE
"tuide",1,1.67250370459571e-06,13594.5593537606,FALSE
"dedeter",1,1.67250370459571e-06,13594.5593537606,FALSE
"mescrëonce",1,1.67250370459571e-06,13594.5593537606,FALSE
"apolie",1,1.67250370459571e-06,13594.5593537606,FALSE
"ile",1,1.67250370459571e-06,13594.5593537606,FALSE
"recotreine",3,5.01751111378712e-06,4531.07260248941,FALSE
"grame",1,1.67250370459571e-06,13594.5593537606,FALSE
"tribue",1,1.67250370459571e-06,13594.5593537606,FALSE
"löembe",2,3.34500740919141e-06,6796.9442903072,FALSE
"lemplerier",2,6.3416917327976e-06,4946.23403494733,FALSE
"con2",1,1.67250370459571e-06,13594.5593537606,FALSE
"cimaine",1,1.67250370459571e-06,13594.5593537606,FALSE
"dabonce",1,1.67250370459571e-06,13594.5593537606,FALSE
"persis",1,1.67250370459571e-06,13594.5593537606,FALSE
"sacreforier",1,1.67250370459571e-06,13594.5593537606,FALSE
"conclore",2,3.34500740919141e-06,6796.9442903072,FALSE
"noisage",1,1.67250370459571e-06,13594.5593537606,FALSE
"innir",1,1.67250370459571e-06,13594.5593537606,FALSE
"despecusus",1,1.67250370459571e-06,13594.5593537606,FALSE
"esmaiiele",1,1.67250370459571e-06,13594.5593537606,FALSE
"conforte",1,1.67250370459571e-06,13594.5593537606,FALSE
"torble1",3,8.01419543739331e-06,4937.14803046795,FALSE
"parmanacier",1,1.67250370459571e-06,13594.5593537606,FALSE
"siti",1,1.67250370459571e-06,13594.5593537606,FALSE
"abondanment",1,1.67250370459571e-06,13594.5593537606,FALSE
"basaine",1,1.67250370459571e-06,13594.5593537606,FALSE
"tones",1,1.67250370459571e-06,13594.5593537606,FALSE
"cuin",1,1.67250370459571e-06,13594.5593537606,FALSE
"forbillon",1,1.67250370459571e-06,13594.5593537606,FALSE
"labonce",1,1.67250370459571e-06,13594.5593537606,FALSE
"cont",1,1.67250370459571e-06,13594.5593537606,FALSE
"gasteler",1,1.67250370459571e-06,13594.5593537606,FALSE
"guerredoner",1,1.67250370459571e-06,13594.5593537606,FALSE
"tarir",1,1.67250370459571e-06,13594.5593537606,FALSE
"demetre",1,1.67250370459571e-06,13594.5593537606,FALSE
"totreloiier",1,1.67250370459571e-06,13594.5593537606,FALSE
"recotir",2,3.34500740919141e-06,6796.9442903072,FALSE
"despoter1",1,1.67250370459571e-06,13594.5593537606,FALSE
"profotifure",1,1.67250370459571e-06,13594.5593537606,FALSE
"senuil",1,1.67250370459571e-06,13594.5593537606,FALSE
"clavine",1,1.67250370459571e-06,13594.5593537606,FALSE
"sobitil",1,1.67250370459571e-06,13594.5593537606,FALSE
"sacremorement",1,1.67250370459571e-06,13594.5593537606,FALSE
"paienie",2,3.34500740919141e-06,6796.9442903072,FALSE
"ensir",1,1.67250370459571e-06,13594.5593537606,FALSE
"espruevent",1,1.67250370459571e-06,13594.5593537606,FALSE
"sofranc",1,1.67250370459571e-06,13594.5593537606,FALSE
"menseil",1,1.67250370459571e-06,13594.5593537606,FALSE
"marbbillos",1,1.67250370459571e-06,13594.5593537606,FALSE
"mauvaison",1,1.67250370459571e-06,13594.5593537606,FALSE
"feralëor",1,1.67250370459571e-06,13594.5593537606,FALSE
"notal1",1,1.67250370459571e-06,13594.5593537606,FALSE
"besser",1,1.67250370459571e-06,13594.5593537606,FALSE
"sorser",1,1.67250370459571e-06,13594.5593537606,FALSE
"fouche",1,1.67250370459571e-06,13594.5593537606,FALSE
"sobitable",1,1.67250370459571e-06,13594.5593537606,FALSE
"controverté",1,1.67250370459571e-06,13594.5593537606,FALSE
"estence",1,1.67250370459571e-06,13594.5593537606,FALSE
