"","freq","mean prob","sample size necessary","passes"
"VERppe PRE DETdef",386,0.0010378499328962,2737.44827174484,FALSE
"PRE.DETdef NOMcom CONcoo",385,0.00113979140354086,2053.27819073741,FALSE
"PROdem PROrel VERcjg",368,0.00107519905102247,1224.09441515643,TRUE
"VERcjg PROper VERcjg",363,0.00103871091843852,1095.80246059252,TRUE
"VERcjg PONfrt NOMcom",377,0.00107576124222134,1316.20439374005,FALSE
"CONcoo PROper PROper",367,0.00113832140110679,621.189371335906,TRUE
"VERcjg PONfrt PROper",371,0.00113345183709225,1399.01200511597,FALSE
"PROrel DETdef NOMcom",359,0.000932168278481204,1866.74358329097,FALSE
"CONcoo ADJqua NOMcom",367,0.00106472614853854,1517.62445988381,FALSE
"NOMcom CONcoo PROper",363,0.00123594570764413,434.290157096486,TRUE
"VERppe PONfrt ADVgen",363,0.000939217943606817,2342.87331810694,FALSE
"DETdem NOMcom PONfrt",364,0.000934106871908025,1430.52006615322,FALSE
"NOMcom ADVneg VERcjg",331,0.000822854526514936,1935.20675565451,FALSE
"NOMcom PRE ADJqua",360,0.000980318159967926,2661.99983402283,FALSE
"CONcoo PRE DETdef",356,0.0009311252786419,2338.74290519285,FALSE
"PONfrt CONcoo PROdem",342,0.000942615740070091,1828.73428295934,FALSE
"PRE.DETdef NOMcom PROrel",342,0.000926502346389397,2410.68437343818,FALSE
"VERcjg PRE DETind",340,0.000877000055448812,1027.47144292899,TRUE
"ADJqua NOMcom CONsub",341,0.000861485964376916,1738.77548567881,FALSE
"DETdef NOMcom PONfbl",338,0.000905608052780079,821.009129728413,TRUE
"NOMcom PONfrt PROrel",327,0.000838255078392256,2396.0782889794,FALSE
"PRE DETndf NOMcom",339,0.000997020896319758,821.041157432954,TRUE
"NOMcom CONcoo DETpos",356,0.00095899636065323,917.586875327902,TRUE
"PROper VERcjg PROdem",350,0.000948224316027212,1558.84265453247,FALSE
"PROrel VERcjg VERppe",346,0.00101234932664145,1496.63998213384,FALSE
"VERcjg PONfrt CONsub",349,0.000907115796021934,2191.3410840676,FALSE
"NOMpro PONfrt CONcoo",349,0.00111013034611686,760.090297359315,TRUE
"PROadv VERcjg PRE",338,0.000908776507757667,1227.81337669149,TRUE
"PRE PROper VERcjg",331,0.000805658876816231,1539.99519681712,FALSE
"NOMcom PROadv VERcjg",328,0.000806758009762343,2505.91815758852,FALSE
"NOMcom PRE DETind",338,0.000978348516208618,1106.60430103896,TRUE
"NOMcom VERcjg DETdef",319,0.000927546575729704,2162.66680343623,FALSE
"DETcar PONfrt NOMcom",328,0.000921342805181416,1215.44532366676,TRUE
"VERcjg ADVgen PONfrt",333,0.0009778816770626,1363.62245296825,FALSE
"DETpos NOMcom ADJqua",341,0.000870937096717204,362.377342409301,TRUE
"PROper PONfrt CONcoo",325,0.000978857805323107,1790.99479052086,FALSE
"DETdef NOMcom DETpos",337,0.001007657531733,1801.68959168294,FALSE
"PONfbl ADVgen PROper",325,0.000707810480135945,949.905417471383,TRUE
"VERcjg VERppe PONfbl",336,0.000796703502205337,2038.22516341709,FALSE
"CONcoo PRE VERinf",336,0.000849576155046971,1129.38557017224,TRUE
"NOMcom PRE NOMpro",335,0.0010718151924011,277.3149324514,TRUE
"PRE VERinf PRE",331,0.000868873978521,2577.37171874731,FALSE
"NOMcom PONfbl PROper",334,0.000898838340989744,2173.15047008276,FALSE
"ADVgen CONsub PONfbl",334,0.000802141734967787,506.159449850556,TRUE
"NOMcom ADVgen CONsub",304,0.000838077156685017,1128.79116211328,TRUE
"CONsub DETpos NOMcom",323,0.000897442309092862,1275.05502292476,FALSE
"NOMcom VERppe PONfrt",321,0.000880220117053982,2881.03108138313,FALSE
"PONfrt CONsub DETdef",331,0.00087001407093493,1303.70144743665,FALSE
"PROrel VERcjg NOMcom",328,0.00100877915522599,779.994900344475,TRUE
"DETpos NOMcom PROrel",326,0.000850589122819224,2167.41848101668,FALSE
"NOMcom ADJqua PONfrt",326,0.000890485466553777,2587.76824014589,FALSE
"VERcjg PONfrt VERcjg",317,0.00088354880295702,1196.68373036657,TRUE
"PONfbl PROper ADVneg",318,0.000702609047446735,1665.9062186964,FALSE
"VERinf PRE NOMcom",300,0.000798663510487187,1681.81638810546,FALSE
"PONfrt NOMcom VERcjg",311,0.000934100979051511,846.403997544176,TRUE
"PONfrt CONcoo NOMcom",298,0.000813352321186235,959.722959562286,TRUE
"NOMcom PRE PROdem",307,0.000751188705577304,2857.13766255142,FALSE
"ADVneg VERcjg VERinf",289,0.000708751648572472,2119.6444558394,FALSE
"PROper VERcjg ADVneg",296,0.000822215115079453,1743.82178768638,FALSE
"NOMcom NOMpro NOMpro",315,0.0011119096985795,747.928255141792,TRUE
"NOMcom VERcjg PROper",297,0.00083950368513145,2202.38718134524,FALSE
"PROper VERcjg DETind",308,0.000926188609265584,1506.89609629623,FALSE
"VERcjg PONfrt ADJqua",313,0.000923089541849396,1429.6737319317,FALSE
"NOMcom VERcjg CONcoo",306,0.000818867532734624,3957.85837190334,FALSE
"OUT PONfbl PROind",310,0.000761768483435702,1942.3370877134,FALSE
"DETndf ADJqua NOMcom",300,0.000822867505622565,1355.37277658691,FALSE
"PROper ADVneg PROper",282,0.000757609238032519,2027.48065269862,FALSE
"NOMcom PRE.DETdef ADJqua",307,0.000736009484939487,1734.82644244625,FALSE
"PRE VERinf CONcoo",304,0.000789297886060285,2047.45690635122,FALSE
"NOMcom CONcoo ADJqua",303,0.000875170593658058,1060.01595299369,TRUE
"PROdem PROper VERcjg",296,0.000887729156310359,1062.56877212131,TRUE
"VERcjg VERppe ADVgen",283,0.000812318148170768,2020.45602076472,FALSE
"PROdem CONsub PROper",285,0.000795480796535726,2047.97865252417,FALSE
"VERcjg PROdem PROrel",292,0.000759895434758378,2790.300629253,FALSE
"PONfbl CONcoo PROper",287,0.000763618525647526,1303.51886847932,FALSE
"CONcoo ADVgen CONsub",281,0.000687043099462516,1888.16343533911,FALSE
"VERcjg PROper ADVgen",266,0.000676405625851032,1861.73196019121,FALSE
"ADVgen ADVneg VERcjg",258,0.0007124290473603,2025.88432516128,FALSE
"PROadv VERcjg ADVgen",283,0.000723747830593758,1694.88564472014,FALSE
"NOMcom VERcjg ADJqua",290,0.000796746371609179,1663.80645282509,FALSE
"ADVgen CONsub DETdef",256,0.000700723424763178,1135.95589604336,TRUE
"ADVgen PROper PONfbl",279,0.000653246823201508,2010.43994925659,FALSE
"VERppe PRE DETpos",275,0.000688680956290588,2609.1139585806,FALSE
"NOMcom PROrel PONfbl",280,0.00062758334759063,1007.97411440784,TRUE
"ADJqua NOMcom ADVgen",269,0.000684542739624494,2443.28040003658,FALSE
"ADVgen ADVgen VERcjg",263,0.000555066374859627,2126.90420959093,FALSE
"PRE PROdem VERcjg",261,0.000668809626838184,1398.66147269198,FALSE
"NOMcom PONfrt ADJqua",276,0.000894518391043935,1240.45855281017,FALSE
"DETndf NOMcom PROrel",269,0.000879183496396674,570.169692295576,TRUE
"CONcoo PRE DETpos",274,0.000733401436900876,2266.08805297867,FALSE
"ADVgen VERppe PONfrt",258,0.000727367532671967,1511.92386398515,FALSE
"CONcoo NOMcom PONfrt",265,0.000705942667433791,1331.96773861463,FALSE
"PRE PROper CONcoo",272,0.000805737961509849,1371.57182663497,FALSE
"CONcoo VERcjg DETdef",270,0.000849063829651109,1192.28976392768,TRUE
"CONcoo NOMcom PRE",259,0.000689527084959798,1131.18318508404,TRUE
"VERcjg VERinf CONcoo",264,0.000672128918211686,1634.75111513125,FALSE
"PROdem CONsub PONfbl",266,0.000632467910624112,1932.19710260634,FALSE
"NOMcom PRE DETdem",262,0.000715392393122651,2582.03226120236,FALSE
"ADVgen PRE DETdef",264,0.000645005059018228,1834.48481454983,FALSE
"DETind NOMcom PRE",252,0.000647054738266401,1517.40611425578,FALSE
"PRE NOMcom ADVgen",247,0.000615767916372098,2602.15959208938,FALSE
"VERcjg CONcoo ADVgen",261,0.000664180361251655,2205.16575703918,FALSE
"ADVgen VERcjg DETpos",261,0.000637807432313022,1864.02506657824,FALSE
"NOMcom VERcjg CONsub",253,0.000696736514693527,1494.81836815292,FALSE
"CONcoo DETdef ADJqua",263,0.000679695250751342,1243.96257598382,FALSE
"PONfrt PROrel VERcjg",247,0.000598038024975141,1103.40861029127,TRUE
"VERinf PONfrt ADVgen",233,0.000575806821394552,1131.16825068103,TRUE
"ADVgen PROadv VERcjg",253,0.000627388753046364,1373.709146696,FALSE
"NOMcom NOMcom PONfrt",246,0.000722608643044404,1506.5685985036,FALSE
"DETdef NOMcom NOMcom",249,0.00068098357580095,1467.57325766086,FALSE
"PRE DETpos ADJqua",255,0.000611608250916572,1418.54617761543,FALSE
"VERcjg PROper PRE",256,0.000654890688191759,2029.83216839838,FALSE
"VERinf PRE DETpos",251,0.000659867892404359,2274.91312350472,FALSE
"DETndf NOMcom PRE",247,0.000687695015559282,1272.38840836172,FALSE
"PROadv VERcjg PONfrt",247,0.000665713799056013,2016.08290464009,FALSE
"DETdef NOMcom VERppe",253,0.000608933551066622,3124.12681131961,FALSE
"NOMcom PROrel PRE",243,0.000550041963325639,2781.81896527201,FALSE
"PONfrt PROper PROper",252,0.000743476501273895,1449.96587730771,FALSE
