Title,Vie_Martin,Vie_Martin,Dia_Martin,Dia_Martin,Vie_Brice,Vie_Brice,Vie_Gilles,Vie_Gilles,Vie_Martial,Vie_Martial,Vie_Nicolas,Vie_Nicolas,Vie_Jerome,Vie_Jerome,Vie_Benoit,Vie_Benoit,Vie_Alexis,Vie_Alexis
Corpus,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt
Lidorius,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liege,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Limoges,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
Lodun,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Loire,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Lombardie,0,2,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0
Lucain,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucius,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Lupecine,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lupus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Lycie,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Macaire,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Madelaine,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Magiste,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Maine,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Makri,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Marcel,0,0,0,2,0,0,0,0,0,102,0,0,0,0,0,0,0,0
Marie,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Marmorius,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Marseille,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marsilie,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Martin,0,133,0,105,0,8,0,0,0,0,0,0,0,0,0,1,0,0
Mathiu,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Maurus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
Maximien,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melan,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercure,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Mercurie,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michel,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Michiel,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mil,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Minerve,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongiu,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montcassin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
Mortagne,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Myrre,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
Namur,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Narbone,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navare,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
