pos;F;61_Ano_Leg-B_NA_NA_NA_Jugement;05_y_Leg-_A_Ap__tr_Vie;02_Ano_Leg-A_Ap_NA_Pas_Paul;54_Ano_Leg-C_Vi_NA_Vie_Pelagie;60_Ano_Leg-B_NA_NA_NA_Antechriste;14_Ano_Leg-B_Ma_Ho_Vie_Vincent;42_Ano_Leg-B_Vi_NA_Ass_NotreDame;29_Wau_Leg-C_Co_Ev_Vie_Martin;58_Ano_Leg-C_Vi_NA_Vie_MarieEgyptienne;52_Ano_Leg-C_Co_NA_Vie_Fursi;04_Ano_Leg-A_Ap_NA_Vie_Jean_Ev;01_Ano_Leg-A_Ap_NA_Vie_Pierre2;11_Ano_Leg-A_Ap_NA_Vie_Marc;38_Wau_Leg-C_Co_Ev_Vie_Jerome;00_Ano_Leg-A_Ap_Ev_Dis_Pierre1;49_Ano_Leg-C_NA_NA_Vie_Maur;41_Ano_Leg-C_Vi_NA_Vie_Irene;30_Wau_Leg-C_Co_Ev_Tra_Martin2;08_Ano_Leg-A_Ap_NA_Vie_Philippe;63_Ric_Leg-N_NA_NA_NA_Bestiaire;56_Ano_Leg-C_Co_NA_Vie_Mamertin;21_Ano_Leg-B_Ma_Fe_Vie_Christine;35_Wau_Leg-C_Co_Ev_Vie_Nicolas;07_Ano_Leg-A_Ap_NA_Vie_SimonJude;53_Ano_Leg-C_Vi_NA_Vie_Marguerite;33_Wau_Leg-C_Co_Er_Vie_Gilles;03_Ano_Leg-A_Ap_NA_Mar_Jean;13_Ano_Leg-B_Ma_Ho_Vie_Sebastien;31_Wau_Leg-C_Co_Ev_Dia_Martin3;27_Ano_Leg-B_Ma_Ho_Vie_Pantaleon;34_Wau_Leg-C_Co_Ev_Vie_Martial;23_Ano_Leg-B_Ma_Ho_Vie_Sixte;44_Ano_Leg-C_Ap_NA_Vie_Andre;10_Ano_Leg-A_Ap_NA_Vie_Barthelemy;22_Ano_Leg-B_Ma_Fe_Vie_Cecile;26_Ano_Leg-B_Ma_Ev_Vie_Lambert;09_Ano_Leg-A_Ap_NA_Vie_JacquesMineur;47_Ano_Leg-C_Co_er_Vie_PaulErmite;17_Ano_Leg-B_Ma_Fe_Vie_Agathe;37_Wau_Leg-C_Co_Ev_Tra_Nicolas3;15_Ano_Leg-B_Ma_Ho_Vie_Georges;18_Ano_Leg-B_Ma_Fe_Vie_Luce;48_Ano_Leg-C_Co_ev_Tra_Benoit2;45_Ano_Leg-C_Ap_NA_Pas_Andre2;28_Ano_Leg-B_Ma_Ho_Vie_Clement;64_Ano_Leg-N_NA_NA_NA_Bestiaire2;20_Ano_Leg-B_Ma_Fe_Vie_Felicite;59_Ano_Leg-C_Vi_NA_Vie_Euphrasie;19_Ano_Leg-B_Ma_Fe_Vie_Agnes;46_Ano_Leg-B_Co_NA_Pur_Patrice;55_Ano_Leg-C_Co_NA_Vie_Simeon;06_Ano_Leg-A_Ap_NA_Vie_Matthieu;32_Wau_Leg-C_Co_Ev_Vie_Brice;16_Ano_Leg-B_Ma_Ho_Vie_Christophe;40_Wau_Leg-C_Co_Er_Vie_Alexis;51_Ano_Leg-C_Ma_ho_Vie_Eustache;24_Ano_Leg-B_Ma_Ho_Vie_Laurent;57_Ano_Leg-C_Vi_NA_Vie_Julien;12_Ano_Leg-A_Ma_Ho_Vie_Longin;43_Ano_Leg-C_Vi_NA_Vie_Catherine;50_Ano_Leg-C_NA_NA_Vie_Placide;25_Ano_Leg-B_Ma_Ho_Vie_Hippolyte;39_Wau_Leg-C_Co_Ev_Vie_Benoit;62_Ano_Leg-N_NA_NA_NA_Index;36_Wau_Leg-C_Co_Ev_Mir_Nicolas2
NOMpro PONfrt CONcoo;349;1;6;7;0;1;3;3;5;8;0;7;8;6;4;9;10;8;0;0;1;1;9;0;14;2;4;1;6;13;13;10;3;2;8;8;6;0;4;3;9;6;4;4;25;5;3;1;13;4;6;0;8;1;12;2;1;9;7;4;10;2;5;2;2;10
PONfrt CONcoo ADVgen;2632;1;169;33;2;1;71;17;93;19;3;22;27;34;16;33;10;15;4;7;85;7;81;10;73;2;27;0;54;146;78;106;34;15;58;80;73;17;26;45;49;63;30;11;151;17;42;24;7;56;63;6;59;10;127;18;9;40;9;20;20;12;42;84;0;69
CONcoo ADVgen VERcjg;2216;1;156;21;2;1;49;22;93;13;0;29;38;32;20;26;5;17;3;12;30;2;82;12;55;2;19;0;37;126;62;117;25;14;43;79;60;11;14;34;50;52;16;10;128;7;23;20;3;43;22;2;49;12;111;26;7;40;8;22;24;7;26;63;0;81
ADVgen VERcjg PRE;986;1;74;11;2;1;18;14;36;12;0;24;23;12;15;16;9;14;0;5;22;1;25;6;28;0;6;0;12;58;25;37;10;7;14;24;14;8;19;12;18;22;8;3;46;8;18;3;4;14;9;1;20;6;35;10;5;13;2;11;10;3;16;39;0;47
VERcjg PRE DETdef;1188;2;94;15;4;1;16;15;37;29;9;13;16;4;11;9;24;31;2;2;29;19;29;5;17;13;9;1;7;63;25;58;4;15;16;11;21;6;13;15;42;14;6;6;70;12;20;1;11;16;24;18;25;6;25;16;13;8;18;8;26;12;6;28;1;46
PRE DETdef NOMcom;3910;6;215;57;20;1;71;51;171;71;28;53;74;26;38;52;82;65;9;11;104;40;84;20;83;42;54;3;41;194;70;167;16;53;64;44;77;16;49;33;143;37;22;26;168;27;81;10;27;43;103;32;77;24;76;65;43;23;53;25;125;40;23;134;3;125
DETdef NOMcom ADVgen;514;1;39;6;1;1;6;7;24;2;4;10;7;1;13;9;4;8;3;0;21;1;10;1;11;2;8;1;2;29;10;22;2;3;6;2;11;1;0;1;17;5;7;1;35;4;12;1;0;3;25;3;6;0;10;14;2;7;2;5;13;6;3;28;0;15
NOMcom ADVgen PONfrt;147;2;7;2;0;1;1;0;10;1;0;0;1;1;1;6;2;1;2;0;4;1;1;1;5;0;1;0;1;9;1;2;1;0;2;1;5;0;0;1;7;0;0;0;9;2;6;0;1;1;6;0;2;0;2;6;2;1;0;1;4;0;2;8;2;11
ADVgen PONfrt VERcjg;42;1;1;1;0;0;2;0;3;1;1;2;1;1;0;3;0;0;1;1;2;0;1;0;1;0;0;0;1;0;0;2;0;0;0;1;1;0;0;0;1;0;0;0;1;0;2;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;1;1;0;4
PONfrt VERcjg PONfrt;79;1;6;4;0;0;1;0;3;0;0;1;0;0;1;2;0;4;0;5;2;0;4;0;1;0;0;0;5;3;1;8;0;0;3;1;1;1;0;0;1;2;0;0;3;2;0;1;1;0;0;0;0;0;4;1;0;1;2;0;0;1;1;0;0;1
VERcjg PONfrt PROcar;39;1;1;0;0;0;0;0;2;4;1;0;1;0;0;0;1;1;0;0;3;0;2;0;0;0;1;0;0;3;0;2;0;0;0;0;0;0;0;0;5;2;0;0;1;0;0;0;0;0;0;2;0;0;1;1;0;0;1;0;1;1;0;1;0;0
PONfrt PROcar PONfrt;195;2;10;0;2;0;0;2;6;10;1;1;2;0;2;0;5;5;1;0;6;4;3;0;2;0;3;0;1;20;3;10;1;0;3;2;1;1;2;1;18;4;0;0;6;3;0;0;3;0;3;4;3;2;2;3;0;0;2;1;5;3;7;10;2;2
PROcar PONfrt NOMcom;138;2;5;0;2;0;1;2;2;5;1;1;3;0;2;0;4;3;1;0;6;4;2;0;0;0;3;0;1;17;3;4;1;0;4;2;1;1;1;1;8;2;0;0;3;2;1;0;3;0;2;2;2;1;1;3;0;0;1;1;5;2;5;5;2;2
PONfrt NOMcom VERcjg;326;1;25;7;0;0;4;3;8;5;1;9;5;1;3;17;4;2;0;1;9;3;7;0;8;6;3;1;2;10;11;7;4;14;3;9;1;1;3;3;6;5;0;3;10;1;7;3;8;4;7;2;9;1;3;9;3;4;1;3;11;6;0;11;1;7
NOMcom VERcjg VERppe;925;2;34;17;2;0;12;7;54;12;5;16;15;6;9;14;21;6;6;2;17;6;20;5;23;9;17;1;12;47;23;43;6;5;17;15;7;2;8;10;32;17;5;14;38;8;13;7;12;11;20;8;18;3;23;15;6;10;6;4;30;6;8;43;1;34
VERcjg VERppe PRE;1165;2;68;18;5;0;25;12;42;11;6;18;27;5;9;21;29;10;4;5;19;6;25;9;23;8;23;3;17;65;22;47;3;13;14;26;12;4;16;13;41;12;9;17;67;9;18;4;11;16;23;8;18;3;36;8;7;12;6;3;43;4;8;54;2;41
VERppe PRE DETdef;424;1;24;6;0;0;10;4;16;3;4;4;8;4;4;6;7;5;0;4;7;0;10;0;14;3;8;0;6;21;4;22;2;2;5;6;9;3;6;4;15;5;2;5;11;1;3;2;6;9;8;2;14;3;8;6;3;5;2;5;19;5;4;25;1;13
DETdef NOMcom NOMpro;122;1;3;0;0;0;0;6;0;5;0;2;4;0;0;5;4;4;0;1;0;0;1;0;4;3;0;1;1;2;2;3;2;1;2;3;1;0;2;1;0;2;0;1;8;1;0;0;1;0;8;2;9;1;4;3;1;2;5;2;7;0;0;0;0;1
NOMcom NOMpro PONfbl;23;1;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;2;0;0;1;0;0;0;0;1;1;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;5;0;0;0;0;2
NOMpro PONfbl DETind;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PONfbl DETind NOMcom;11;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;2;0;0;0;0;0
DETind NOMcom ADVneg;60;1;2;1;1;0;0;0;3;3;0;2;1;0;0;0;0;0;0;0;5;0;0;0;3;0;2;0;3;2;1;2;0;1;0;0;2;0;0;1;2;0;1;0;3;0;4;0;0;1;3;1;1;1;1;1;0;0;1;0;0;0;0;3;0;1
NOMcom ADVneg VERcjg;386;2;12;4;4;0;8;2;11;8;1;10;5;0;3;8;6;5;1;0;14;2;3;4;8;0;6;1;3;34;7;20;0;4;6;6;4;3;5;1;13;7;4;1;15;5;26;0;3;5;9;1;12;1;9;2;3;3;0;1;22;1;0;14;0;8
ADVneg VERcjg CONcoo;80;1;3;0;0;0;0;1;6;0;0;0;2;0;1;0;1;0;0;0;2;1;1;1;2;0;1;0;0;6;2;1;1;0;0;3;1;2;3;1;1;1;2;2;0;2;9;0;1;1;1;3;2;0;3;1;0;0;0;0;4;2;2;0;0;0
VERcjg CONcoo PONfrt;11;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
CONcoo PONfrt VERppa;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PONfrt VERppa NOMcom;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VERppa NOMcom PROadv;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NOMcom PROadv PROper;5;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PROadv PROper VERcjg;13;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1
PROper VERcjg PRE.DETdef;411;1;27;7;4;0;2;2;9;13;2;8;3;3;4;4;13;5;1;3;9;2;11;2;14;2;9;0;2;23;4;31;1;5;4;5;5;5;2;0;18;5;6;6;16;2;12;1;4;1;9;6;12;1;4;2;4;4;5;1;7;4;6;13;0;15
VERcjg PRE.DETdef NOMcom;922;5;59;18;5;0;6;6;25;19;6;23;9;4;6;18;25;12;1;5;14;6;24;4;22;6;14;2;3;39;12;55;4;19;14;12;14;8;13;5;32;7;8;13;43;10;19;6;9;10;21;10;18;2;17;14;8;6;11;7;30;7;8;25;1;38
PRE.DETdef NOMcom PRE.DETdef;171;1;13;2;4;0;3;1;7;4;1;5;3;3;0;2;1;3;0;0;0;3;3;2;3;1;1;0;3;16;2;13;0;1;0;2;2;2;3;2;5;4;0;4;7;0;3;0;0;3;2;1;3;0;4;0;6;3;2;1;6;0;0;2;0;3
NOMcom PRE.DETdef NOMcom;1366;3;74;31;7;0;21;22;35;28;14;37;35;13;9;34;16;14;3;2;33;10;31;13;27;14;12;0;8;65;16;70;7;15;17;15;25;8;21;10;40;19;9;16;50;6;28;4;17;18;40;14;30;2;32;7;22;14;18;9;65;14;7;38;1;31
PRE.DETdef NOMcom PONfrt;793;3;35;14;4;0;13;12;21;15;8;25;11;10;3;22;10;5;1;2;25;4;16;4;22;5;8;1;6;35;16;37;8;4;17;21;14;4;14;11;18;8;9;9;16;7;11;5;14;10;38;11;17;1;21;8;6;7;5;8;30;4;4;21;1;18
NOMcom PONfrt CONcoo;5093;6;237;76;16;0;105;56;202;109;32;84;89;37;23;98;104;56;8;14;164;29;122;24;127;28;41;1;83;275;104;165;30;24;88;141;137;27;62;77;75;80;46;49;209;73;87;37;60;102;154;38;116;22;228;39;54;54;47;47;79;40;44;110;5;97
PONfrt CONcoo PROdem;370;2;26;13;1;0;12;6;18;1;2;9;4;3;1;14;3;4;1;1;15;5;5;3;7;0;5;1;7;33;9;3;2;2;4;11;4;1;0;5;4;1;5;2;24;2;6;4;4;2;9;2;14;1;15;5;4;1;1;1;5;0;3;5;1;6
CONcoo PROdem VERcjg;208;2;13;8;0;0;2;9;12;1;1;5;4;0;0;9;1;1;0;0;4;3;2;2;3;0;5;1;7;29;1;5;1;0;1;3;2;0;1;3;2;0;0;0;20;1;2;2;1;1;4;0;4;0;10;2;0;2;1;1;4;1;1;3;0;5
PROdem VERcjg NOMcom;133;2;5;2;1;0;1;1;6;2;1;1;1;0;0;10;1;0;0;0;6;0;2;0;5;0;2;0;3;9;2;4;0;4;1;2;0;0;1;0;1;0;2;1;3;2;4;1;0;2;4;1;2;0;2;3;1;1;0;0;10;3;3;5;0;7
VERcjg NOMcom DETpos;71;1;5;0;1;0;3;1;1;2;0;2;2;1;0;3;2;0;0;0;1;0;4;0;2;1;2;0;0;1;0;1;0;0;2;1;2;1;0;1;2;1;0;0;7;1;1;1;0;2;0;1;2;0;4;0;1;1;0;2;2;0;0;0;0;0
NOMcom DETpos NOMcom;804;1;54;8;1;0;14;14;29;13;8;15;10;9;7;9;24;13;0;4;10;3;30;8;19;6;10;1;15;24;13;45;4;7;12;16;22;5;18;3;36;9;6;8;34;5;5;7;5;15;11;7;18;5;19;20;8;5;5;6;12;7;2;25;1;19
DETpos NOMcom PROrel;341;1;23;5;2;0;3;3;21;1;2;5;6;2;4;7;11;4;0;2;4;4;16;0;6;1;7;0;7;14;2;18;1;1;4;6;7;0;3;5;13;8;2;2;17;3;6;5;0;5;4;1;5;1;7;7;3;1;3;3;9;2;4;14;0;8
NOMcom PROrel PROper;1066;2;66;14;6;0;18;8;26;32;14;15;21;6;8;14;27;10;2;3;26;11;32;5;25;10;13;2;14;56;14;45;2;11;12;12;13;3;6;9;23;15;9;13;38;4;60;6;12;19;32;9;29;2;29;6;10;13;11;5;26;11;3;35;0;33
PROrel PROper VERppe;12;1;0;1;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;1;0;0;0;1;0;0
PROper VERppe ADVgen;21;1;0;0;0;0;1;0;3;1;0;0;2;0;0;2;0;0;0;0;1;0;0;0;1;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1
VERppe ADVgen VERcjg;68;1;6;5;0;0;0;1;4;0;0;1;2;0;0;1;3;2;0;0;5;0;2;0;3;0;1;0;2;2;0;0;1;1;0;0;0;0;1;1;1;1;0;3;7;0;1;0;0;1;2;0;0;0;1;1;0;0;0;1;2;0;0;2;0;0
ADVgen VERcjg VERcjg;137;1;14;7;0;0;3;2;4;1;0;1;3;1;0;4;2;1;0;1;1;0;1;1;6;1;2;0;1;5;5;5;4;0;0;2;1;1;0;4;1;2;0;1;5;1;1;0;1;1;4;4;4;0;7;0;5;3;2;0;1;3;2;2;0;2
VERcjg VERcjg PONfrt;99;1;3;0;0;0;4;1;2;1;0;0;0;0;0;13;1;0;1;0;5;2;8;0;1;0;0;2;0;1;4;3;2;0;0;4;0;0;0;1;0;3;0;1;5;2;4;2;0;1;3;2;3;0;3;2;1;1;0;0;2;0;0;2;1;1
VERcjg PONfrt NOMcom;405;1;18;20;3;0;7;10;8;8;0;6;8;2;1;17;3;2;0;4;8;3;22;1;7;5;3;2;4;5;17;15;2;6;3;14;3;0;3;1;6;15;3;1;34;3;2;4;4;6;3;4;11;0;16;1;4;8;3;2;11;3;2;4;1;12
PONfrt NOMcom DETdef;42;1;0;2;0;0;3;0;2;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;6;0;1;0;0;0;3;1;0;0;1;0;0;0;1;1;1;2;2;0;1;0;0;0;0;0;2;0;2;1;0;0;0;1;0;0;3;0;1;0;0;1
NOMcom DETdef NOMcom;548;1;34;8;4;0;9;9;22;6;9;6;7;0;7;14;16;6;1;2;6;2;9;0;21;2;9;1;4;18;10;20;3;6;11;8;7;2;12;6;8;9;8;6;23;5;8;3;6;3;16;5;21;3;17;1;6;11;3;2;32;6;8;9;0;11
DETdef NOMcom CONcoo;1163;2;69;19;5;0;19;11;38;27;10;25;20;4;6;23;20;19;4;6;15;16;29;7;29;15;14;1;10;34;21;44;9;12;19;10;23;6;11;6;26;16;10;8;47;9;13;10;9;21;35;19;35;6;31;23;17;14;27;8;39;18;7;30;1;26
NOMcom CONcoo VERcjg;746;1;38;12;14;0;8;4;17;30;18;8;13;2;2;16;27;9;0;2;5;13;16;5;23;13;9;1;4;12;8;20;2;6;4;8;5;3;12;4;17;10;3;14;35;8;13;1;12;8;14;31;11;2;16;8;23;6;23;8;32;22;3;19;0;13
CONcoo VERcjg CONsub;203;1;11;1;1;0;8;1;7;3;3;0;1;0;3;3;5;3;0;0;1;2;3;1;3;6;1;0;2;8;2;4;1;0;2;6;3;1;1;3;6;6;2;8;7;4;5;0;1;3;4;1;0;1;10;4;5;4;5;1;15;1;1;7;0;1
VERcjg CONsub PRE;83;1;1;1;1;0;0;0;5;3;0;2;2;1;0;3;2;0;0;0;3;0;0;1;1;1;2;0;1;5;1;3;0;2;0;0;1;0;1;0;1;1;0;2;0;0;11;3;0;0;2;0;3;0;0;0;3;0;1;0;4;1;1;3;0;3
CONsub PRE DETdef;72;1;1;0;1;0;1;0;6;1;0;3;1;0;1;6;3;0;0;0;5;1;0;1;0;0;2;0;1;2;0;1;1;2;1;0;0;0;0;1;1;0;2;1;0;0;6;1;0;2;2;1;3;0;1;0;2;0;1;1;1;0;1;1;0;2
DETdef NOMcom PRE;2334;5;95;38;10;0;37;31;120;54;16;44;50;22;26;56;48;30;5;6;46;16;53;10;45;21;32;2;36;119;33;108;19;41;19;35;38;9;28;24;75;17;21;20;119;16;34;11;29;21;51;20;38;13;55;34;18;15;23;23;84;17;20;59;3;71
NOMcom PRE NOMcom;2147;2;132;70;6;0;21;24;84;34;20;47;73;13;21;50;44;27;5;5;78;6;46;8;37;10;26;4;24;99;28;117;9;28;25;30;40;9;39;17;66;17;6;22;76;7;61;5;18;17;53;20;37;15;46;21;14;25;15;15;93;12;17;53;5;53
PRE NOMcom VERcjg;442;2;23;9;1;0;3;0;32;8;1;7;8;4;2;12;9;6;1;0;28;4;7;3;11;4;2;0;3;22;7;18;2;4;5;6;6;2;5;2;5;10;4;8;16;2;23;2;2;3;6;3;4;2;8;3;4;6;0;3;22;2;6;12;2;15
NOMcom VERcjg VERcjg;153;1;7;7;0;0;2;1;9;0;0;4;2;3;1;4;0;2;0;3;2;1;1;2;13;0;2;0;1;4;2;4;1;7;3;4;2;0;3;1;1;2;1;0;6;0;7;0;2;3;3;0;3;0;5;4;2;2;0;1;3;0;2;3;0;4
VERcjg VERcjg DETdef;74;1;10;0;0;0;2;1;2;1;1;1;3;0;0;3;2;2;0;0;1;0;1;0;5;0;0;0;0;1;2;2;0;0;1;2;3;0;1;2;3;3;0;1;3;0;1;1;0;1;0;1;1;0;0;0;1;0;0;0;5;1;1;0;0;1
VERcjg DETdef NOMcom;2498;4;132;24;11;0;39;37;124;47;28;34;35;20;28;56;29;23;6;5;61;24;50;8;61;24;42;6;23;101;52;106;21;29;39;37;31;9;30;24;67;28;28;41;98;19;46;22;18;33;83;38;38;9;63;37;28;24;20;26;67;27;19;94;1;64
DETdef NOMcom ADJqua;436;1;10;8;3;0;10;2;13;7;4;5;12;4;4;7;16;11;1;2;5;10;0;1;8;2;5;2;6;15;8;17;7;9;4;8;5;2;4;3;11;4;4;33;10;3;5;5;3;4;7;7;10;3;7;9;1;5;6;2;19;5;4;16;0;12
NOMcom ADJqua PONfrt;337;2;16;11;1;0;8;2;13;6;4;10;10;3;1;6;4;3;0;1;4;5;8;0;6;0;6;0;4;19;7;18;4;2;3;7;3;1;3;6;6;7;2;7;8;3;1;2;3;3;11;2;8;1;7;6;0;6;1;1;21;3;3;9;1;8
ADJqua PONfrt PRE;68;1;1;2;0;0;0;0;1;1;1;0;1;0;0;1;1;1;0;0;0;1;3;0;1;1;0;0;1;6;1;4;0;1;0;2;0;0;2;0;1;1;0;0;3;0;3;0;3;3;1;1;2;0;4;2;1;0;0;0;3;0;0;1;0;5
PONfrt PRE VERppe;4;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PRE VERppe NOMpro;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VERppe NOMpro ADVgen;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NOMpro ADVgen CONsub;14;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1
ADVgen CONsub NOMcom;139;1;15;2;1;0;2;0;7;1;2;1;5;2;0;5;1;3;0;1;7;0;1;0;0;1;1;0;1;6;2;2;1;1;1;6;1;3;3;2;1;0;1;1;2;0;15;1;3;0;6;0;2;0;3;1;1;2;1;0;1;0;3;3;0;4
CONsub NOMcom PONfrt;51;1;4;0;0;0;0;0;2;0;0;0;1;0;0;2;0;2;0;0;7;0;0;0;2;2;0;0;0;0;1;1;1;0;0;2;1;1;1;1;0;0;0;1;1;1;3;0;2;0;2;1;1;0;1;1;1;0;1;0;0;0;1;1;0;1
NOMcom PONfrt PROrel;331;1;14;5;2;0;3;5;14;2;0;4;4;0;3;4;2;3;3;0;12;1;8;4;6;0;6;2;6;38;8;9;1;3;5;7;3;0;1;2;10;2;4;2;7;3;17;0;2;5;2;1;8;0;7;8;0;3;2;3;10;3;0;22;1;18
PONfrt PROrel VERcjg;241;1;4;4;0;0;4;3;10;2;0;2;2;0;1;6;3;2;2;0;8;0;5;3;5;1;3;2;2;25;13;16;2;1;1;5;2;0;0;3;8;4;4;1;2;3;8;1;2;2;0;0;2;1;3;13;0;4;1;0;7;2;0;16;1;13
PROrel VERcjg DETdef;168;1;2;4;0;0;2;2;10;4;3;2;1;1;0;6;0;0;0;1;7;4;4;2;2;1;3;1;0;10;5;5;1;1;3;1;1;0;4;3;6;6;0;4;5;1;4;1;1;2;1;2;4;0;1;7;5;2;3;0;2;4;0;3;0;7
NOMcom PRE DETdef;1373;3;68;21;8;0;34;20;61;37;10;17;27;12;13;17;39;20;3;4;33;8;48;7;32;19;25;0;17;57;18;54;9;24;20;12;21;7;15;15;46;15;8;11;72;7;30;4;7;20;23;8;21;6;26;16;15;4;24;5;42;17;10;43;1;37
NOMcom VERcjg PONfrt;636;1;36;9;1;0;6;5;25;8;1;8;2;5;1;44;11;5;0;1;21;4;17;2;25;1;7;1;3;34;18;28;8;1;8;15;9;4;4;8;15;11;5;4;28;8;20;3;10;7;9;2;15;1;15;9;2;4;7;4;11;3;10;28;1;17
VERcjg PONfrt PROdem;88;1;7;3;1;0;1;0;5;2;0;0;1;0;1;6;4;0;0;0;1;0;1;0;1;0;1;0;0;4;1;4;1;2;0;3;1;1;1;2;1;1;1;0;3;0;2;0;3;1;1;2;0;0;3;3;1;2;0;0;3;0;2;2;0;1
PONfrt PROdem VERcjg;236;3;20;4;0;0;5;1;14;1;0;1;4;0;3;6;3;1;0;0;5;1;6;2;4;0;4;0;2;19;6;14;2;1;3;6;5;1;1;2;4;1;1;2;7;0;6;1;6;1;2;3;0;0;9;5;0;2;0;1;10;4;3;12;0;6
PROdem VERcjg PRE.DETdef;41;1;2;1;0;0;0;1;2;0;0;1;2;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;5;1;4;0;0;0;1;0;1;0;0;1;0;2;0;1;0;0;1;0;0;0;0;2;3;0;1;0;0;1;0;1;1;0;1
PRE.DETdef NOMcom ADVgen;153;1;2;2;0;0;1;4;8;1;1;4;1;2;4;5;1;2;0;0;5;1;2;0;0;1;2;0;1;4;2;10;0;4;1;3;3;3;1;0;11;2;0;2;14;1;4;2;3;0;3;1;3;0;5;0;0;0;1;0;2;2;0;7;0;8
ADVgen PONfrt PROdem;22;1;1;1;0;0;1;0;2;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;2;0;1;0;2
PONfrt PROdem PROrel;79;1;3;0;2;0;1;0;3;2;2;0;0;0;0;2;3;0;0;1;1;1;0;1;1;2;1;0;0;6;2;5;0;3;0;1;1;0;0;0;5;0;0;1;1;0;4;0;0;1;1;3;1;1;0;3;0;0;1;2;2;1;1;2;0;4
